date,n_infectious,new_infections,cum_infections,new_deaths,cum_deaths,cum_tests,new_tests,n_critical,ventilation
2020-03-03,16,7,7,0,0,344,344,0,
2020-03-04,22,6,13,0,0,1414,1070,0,
2020-03-05,31,10,23,0,0,1932,518,0,
2020-03-06,42,13,36,0,0,2645,713,0,
2020-03-07,59,19,55,0,0,3769,1124,0,
2020-03-08,82,27,82,0,0,4398,629,0,
2020-03-09,97,24,106,0,0,5014,616,0,
2020-03-10,132,41,147,0,0,6075,1061,0,
2020-03-11,169,49,196,0,0,6360,285,0,
2020-03-12,208,51,247,0,0,7018,658,0,
2020-03-13,267,83,330,0,0,8453,1435,0,
2020-03-14,344,100,430,0,0,8848,395,0,
2020-03-15,450,142,572,0,0,9808,960,0,
2020-03-16,586,191,763,0,0,10362,554,0,
2020-03-17,748,216,979,0,0,11050,688,0,
2020-03-18,900,191,1170,0,0,12214,1164,0,
2020-03-19,1112,262,1432,0,0,12950,736,0,
2020-03-20,1434,418,1850,0,0,13498,548,0,
2020-03-21,1703,368,2218,0,0,14044,546,0,
2020-03-22,2039,480,2698,0,0,14763,719,0,
2020-03-23,2473,672,3370,0,0,15356,593,0,
2020-03-24,2690,412,3782,0,0,15906,550,0,
2020-03-25,3299,1058,4840,0,0,16982,1076,0,
2020-03-26,3596,492,5332,0,0,18067,1085,0,
2020-03-27,4111,880,6212,0,0,18759,692,0,
2020-03-28,4475,817,7029,0,0,19255,496,0,
2020-03-29,4710,603,7632,0,0,20040,785,0,
2020-03-30,5064,868,8500,0,0,21399,1359,0,
2020-03-31,5208,800,9300,0,0,22427,1028,0,
2020-04-01,5355,544,9844,0,0,23499,1072,0,
2020-04-02,4990,670,10514,0,0,23985,486,0,
2020-04-03,5013,435,10949,0,0,24654,669,0,
2020-04-04,4833,773,11722,0,0,25025,371,0,
2020-04-05,4340,232,11954,0,0,25782,757,0,
2020-04-06,4047,232,12186,0,0,26825,1043,0,
2020-04-07,3443,123,12309,0,0,27468,643,0,
2020-04-08,2932,211,12520,0,0,28030,562,0,
2020-04-09,2661,197,12717,0,0,29002,972,0,
2020-04-10,2194,161,12878,0,0,29961,959,0,
2020-04-11,1891,114,12992,0,0,30437,476,0,
2020-04-12,1320,206,13198,0,0,31213,776,0,
2020-04-13,1179,64,13262,0,0,32246,1033,0,
2020-04-14,1059,106,13368,0,0,33285,1039,0,
2020-04-15,1011,52,13420,0,0,34300,1015,0,
2020-04-16,915,88,13508,0,0,34672,372,0,
2020-04-17,781,42,13550,0,0,35430,758,0,
2020-04-18,658,22,13572,0,0,36474,1044,0,
2020-04-19,615,81,13653,0,0,37118,644,0,
2020-04-20,429,6,13659,0,0,37681,563,0,
2020-04-21,381,12,13671,0,0,38654,973,0,
2020-04-22,373,114,13785,0,0,39614,960,0,
2020-04-23,331,3,13788,0,0,40091,477,0,
2020-04-24,262,17,13805,0,0,40868,777,0,
2020-04-25,245,16,13821,0,0,41902,1034,0,
2020-04-26,233,5,13826,0,0,42942,1040,0,
2020-04-27,166,5,13831,0,0,43958,1016,0,
2020-04-28,183,29,13860,0,0,44331,373,0,
2020-04-29,173,1,13861,0,0,45090,759,0,
2020-04-30,81,15,13876,0,0,46135,1045,0,
2020-05-01,79,1,13877,0,0,46780,645,0,
2020-05-02,68,5,13882,0,0,47344,564,0,
2020-05-03,53,1,13883,0,0,48318,974,0,
2020-05-04,50,0,13883,0,0,49279,961,0,
2020-05-05,49,4,13887,0,0,49757,478,0,
2020-05-06,24,1,13888,0,0,50535,778,0,
2020-05-07,23,1,13889,0,0,51570,1035,0,
2020-05-08,10,0,13889,0,0,52611,1041,0,
2020-05-09,9,0,13889,0,0,53628,1017,0,
2020-05-10,5,0,13889,0,0,54002,374,0,
2020-05-11,5,1,13890,0,0,54762,760,0,
2020-05-12,5,0,13890,0,0,55808,1046,0,
2020-05-13,1,0,13890,0,0,56454,646,0,
2020-05-14,1,0,13890,0,0,57019,565,0,
2020-05-15,1,0,13890,0,0,57994,975,0,
2020-05-16,1,0,13890,0,0,58956,962,0,
2020-05-17,1,0,13890,0,0,59435,479,0,
2020-05-18,1,0,13890,0,0,60214,779,0,
2020-05-19,0,0,13890,0,0,61250,1036,0,
2020-05-20,0,0,13890,0,0,62292,1042,0,
2020-05-21,0,0,13890,0,0,63310,1018,0,
2020-05-22,0,0,13890,0,0,63685,375,0,
2020-05-23,0,0,13890,0,0,64446,761,0,
2020-05-24,0,0,13890,0,0,65493,1047,0,
2020-05-25,0,0,13890,0,0,66140,647,0,
2020-05-26,0,0,13890,0,0,66706,566,0,
2020-05-27,0,0,13890,0,0,67682,976,0,
2020-05-28,0,0,13890,0,0,68645,963,0,
2020-05-29,0,0,13890,0,0,69125,480,0,
2020-05-30,0,0,13890,0,0,69905,780,0,
2020-05-31,0,0,13890,0,0,70942,1037,0,
2020-06-01,0,0,13890,0,0,71985,1043,0,
